autorinnenname,land,wohnort,titel,eingeladen_von,teilnahmejahr,geburtsjahr,geschlecht,vorgetragen_am,preis_gewonnen,wikipedia,webseite
Katharina Schultens,Deutschland,Berlin,Urmünder,Insa Wilke,30062019,01071980,w,Donnerstag,False,True,"https://bachmannpreis.orf.at/stories/2978635/"
Sarah Wipauer,Österreich,Wien,Raumstation Hirschstetten,Klaus Kastberger,30062019,01071986,w,Donnerstag,False,False,"https://bachmannpreis.orf.at/stories/2978638/"
Silvia Tschui,Schweiz,Zürich,Auszug aus dem Roman Der Wod,Nora Gomringer,30062019,01071974,w,Donnerstag,False,True,"https://bachmannpreis.orf.at/stories/2978636/"
Julia Jost,Österreich,Hamburg,Unweit vom Schakaltal,Klaus Kastberger,30062019,01071982,w,Donnerstag,True,True,"https://bachmannpreis.orf.at/stories/2978630/"
Andrea Gerster,Schweiz,"Freidorf (Kanton Thurgau)",Das kann ich,Hildegard E. Keller,30062019,21041959,w,Donnerstag,False,True,"https://bachmannpreis.orf.at/stories/2978624/"
Yannic Han Biao Federer,Deutschland,Köln,Kenn ich nicht,Hildegard E. Keller,30062019,01071986,m,Freitag,True,True,"https://bachmannpreis.orf.at/stories/2978622/"
Ronya Othmann,Deutschland,Leipzig,Vierundsiebzig,Insa Wilke,30062019,12011993,w,Freitag,True,True,"https://bachmannpreis.orf.at/stories/2978634/"
Birgit Birnbacher,Österreich,Salzburg,Der Schrank,Stefan Gmünder,30062019,16071985,w,Freitag,True,True,"https://bachmannpreis.orf.at/stories/2978620/"
Daniel Heitzler,Deutschland,Berlin,Der Fluch,Hubert Winkels,30062019,01071996,m,Freitag,False,False,"https://bachmannpreis.orf.at/stories/2978628/"
Tom Kummer,Schweiz,Bern,Von schlechten Eltern,Michael Wiederstein,30062019,14011961,m,Freitag,False,True,"https://bachmannpreis.orf.at/stories/2978631/"
Ines Birkhan,Österreich,Wien,Romanauszug abspenstig,Nora Gomringer,30062019,01071974,w,Samstag,False,True,"https://bachmannpreis.orf.at/stories/2978619/"
Leander Fischer,Österreich,Hannover,Nymphenverzeichnis Muster Nummer eins Goldkopf,Hubert Winkels,30062019,01071992,m,Samstag,True,True,"https://bachmannpreis.orf.at/stories/2978623/"
Lukas Meschik,Österreich,Wien,Mein Vater ist ein Baum,Stefan Gmünder,30062019,01071988,m,Samstag,False,True,"https://bachmannpreis.orf.at/stories/2978633/"
Martin Beyer,Deutschland,Bamberg,Und ich war da,Michael Wiederstein,30062019,01071976,m,Samstag,False,False,"https://bachmannpreis.orf.at/stories/2978618/"
Raphaela Edelbauer,Österreich,Wien,Das Loch,Klaus Kastberger,08072018,01071990,w,Donnerstag,True,True,"https://bachmannpreis.orf.at/stories/2914731/"
Martina Clavadetscher,Schweiz,"Brunnen, Luzern",SCHNITTMUSTER,Hildegard E. Keller,08072018,01081979,w,Donnerstag,False,True,"https://bachmannpreis.orf.at/stories/2914728/"
Stephan Lohse,Deutschland,Berlin,Lumumbaland,Hubert Winkels,08072018,01071964,m,Donnerstag,False,True,"https://bachmannpreis.orf.at/stories/2914739/"
Anna Stern,Schweiz,Zürich,Warten auf Ava,Hildegard E. Keller,08072018,01071990,w,Donnerstag,True,True,"https://bachmannpreis.orf.at/stories/2914749/"
Joshua Groß,Deutschland,Nürnberg,Flexen in Miami,Insa Wilke,08072018,01071989,m,Donnerstag,False,True,"https://bachmannpreis.orf.at/stories/2914735/"
Corinna T. Sievers,Deutschland,Herrliberg,"Der Nächste, bitte!",Nora Gomringer,08072018,04081965,w,Freitag,False,True,"https://bachmannpreis.orf.at/stories/2914748/"
Ally Klein,Deutschland,Berlin,Carter,Michael Wiederstein,08072018,01071984,w,Freitag,False,False,"https://bachmannpreis.orf.at/stories/2914737/"
Tanja Maljartschuk,Ukraine,Wien,Frösche im Meer,Stefan Gmünder,08072018,01071983,w,Freitag,True,True,"https://bachmannpreis.orf.at/stories/2914743/"
Bov Bjerg,Deutschland,Berlin,SERPENTINEN,Klaus Kastberger,08072018,01071965,m,Freitag,True,True,"https://bachmannpreis.orf.at/stories/2914727/"
Anselm Neft,Deutschland,Hamburg,Mach’s wie Miltos!,Nora Gomringer,08072018,06071973,m,Freitag,False,True,"https://bachmannpreis.orf.at/stories/2914744/"
Jakob Nolte,Deutschland,Berlin,"Tagebuch einer jungen Frau, die am Fall beteiligt war",Hubert Winkels,08072018,01071988,m,Samstag,False,True,"https://bachmannpreis.orf.at/stories/2914747/"
Stephan Groetzner,Deutschland,Hamburg,DESTINATION: AUSTRIA,Stefan Gmünder,08072018,05101965,m,Samstag,False,True,"https://bachmannpreis.orf.at/stories/2914734/"
Özlem Özgül Dündar,"Deutschland, Türkei",Solingen,und ich brenne,Insa Wilke,08072018,01071983,w,Samstag,True,True,"https://bachmannpreis.orf.at/stories/2914730/"
Lennardt Loß,Deutschland,Frankfurt/Main,Der Himmel über 9A,Michael Wiederstein,08072018,01071992,m,Samstag,False,False,"https://bachmannpreis.orf.at/stories/2914742/"
Karin Peschka,Österreich,Wien,Wiener Kindl,Stefan Gmünder,09072017,01071967,w,Donnerstag,True,True,"https://bachmannpreis.orf.at/stories/2843535/"
Björn Treber,Österreich,Graz,Weintrieb,Stefan Gmünder,09072017,27051992,m,Donnerstag,False,True,"https://bachmannpreis.orf.at/stories/2843539/"
John Wray,"USA, Österreich",Brooklyn,Madrigal,Sandra Kegel,09072017,01071971,m,Donnerstag,True,True,"https://bachmannpreis.orf.at/stories/2843540/"
Noemi Schneider,Deutschland,"Weiler im Allgäu, München",Fifty Shades of Gray,Hubert Winkels,09072017,01071982,w,Donnerstag,False,True,"https://bachmannpreis.orf.at/stories/2843537/"
Daniel Goetsch,"Schweiz, Frankreich",Berlin,Der Name,Hildegard E. Keller,09072017,20091968,m,Donnerstag,False,True,"https://bachmannpreis.orf.at/stories/2843529/"
Ferdinand Schmalz,Österreich,Wien,mein lieblingstier heißt winter,Sandra Kegel,09072017,01071985,m,Freitag,True,True,"https://bachmannpreis.orf.at/stories/2843536/"
Barbi Marković,Serbien,Wien,Die Mieter,Klaus Kastberger,09072017,01071980,w,Freitag,False,True,"https://bachmannpreis.orf.at/stories/2843531/"
Verena Dürr,Österreich,Wien,Memorabilia,Klaus Kastberger,09072017,01071982,w,Freitag,False,False,"https://bachmannpreis.orf.at/stories/2843526/"
Jackie Thomae,Deutschland,Berlin,Cleanster,Hubert Winkels,09072017,01071972,w,Freitag,False,True,"https://bachmannpreis.orf.at/stories/2843538/"
Jörg-Uwe Albig,Deutschland,Berlin,In der Steppe,Meike Feßmann,09072017,01071960,m,Freitag,False,True,"https://bachmannpreis.orf.at/stories/2843523/"
Eckhart Nickel,Deutschland,Frankfurt/Main,Hysteria,Michael Wiederstein,09072017,01071966,m,Samstag,True,True,"https://bachmannpreis.orf.at/stories/2843533/"
Gianna Molinari,Schweiz,Zürich,Loses Mappe,Hildegard E. Keller,09072017,01071988,w,Samstag,True,True,"https://bachmannpreis.orf.at/stories/2843532/"
Maxi Obexer,"Deutschland, Italien",Berlin,Europas längster Sommer,Meike Feßmann,09072017,01071970,w,Samstag,False,True,"https://bachmannpreis.orf.at/stories/2843534/"
Urs Mannhart,Schweiz,Madiswil,Ein Bier im Banja,Michael Wiederstein,09072017,19081975,m,Samstag,False,True,"https://bachmannpreis.orf.at/stories/2843530/"
Stefanie Sargnagel,Österreich,Wien,Penne vom Kika,Sandra Kegel,03072016,14011986,w,Donnerstag,True,True,"https://bachmannpreis.orf.at/stories/2773162/"
Sascha Macht,Deutschland,Leipzig,Das alte Lied von Señor Magma,Hildegard E. Keller,03072016,01071986,m,Donnerstag,False,False,"https://bachmannpreis.orf.at/stories/2773158/"
Marko Dinić,Serbien,Salzburg,Als nach Milošević das Wasser kam,Klaus Kastberger,03072016,01071988,m,Donnerstag,False,True,"https://bachmannpreis.orf.at/stories/2773152/"
Bastian Schneider,Deutschland,"Köln, Wien",MEZZANIN,Stefan Gmünder,03072016,01071981,m,Donnerstag,False,False,"https://bachmannpreis.orf.at/stories/2773164/"
Selim Özdoğan,"Deutschland, Türkei",Köln,Ein geheimer Akkord,Stefan Gmünder,03072016,01071971,m,Donnerstag,False,True,"https://bachmannpreis.orf.at/stories/2773159/"
Julia Wolf,Deutschland,Berlin,Walter Nowak bleibt liegen,Hubert Winkels,03072016,01071980,w,Freitag,True,True,"https://bachmannpreis.orf.at/stories/2773167/"
Jan Snela,Deutschland,Tübingen,Araber und Schakale,Meike Feßmann,03072016,01071980,m,Freitag,False,True,"https://bachmannpreis.orf.at/stories/2773165/"
Isabelle Lehn,Deutschland,Leipzig,Binde zwei Vögel zusammen,Meike Feßmann,03072016,01071979,w,Freitag,False,True,"https://bachmannpreis.orf.at/stories/2773157/"
Tomer Gardi,Israel,Tel Aviv,unbetitelter Text,Klaus Kastberger,03072016,01071974,m,Freitag,False,True,"https://bachmannpreis.orf.at/stories/2773156/"
